"MN1534Slow2 - RawData"
"Wavelength nm.","T%"
200.00,0.19592
201.00,0.18122
202.00,0.10800
203.00,0.16544
204.00,0.24424
205.00,0.12025
206.00,0.20387
207.00,0.13935
208.00,0.08801
209.00,0.05473
210.00,0.11047
211.00,0.11173
212.00,0.08454
213.00,0.12875
214.00,0.09109
215.00,0.05480
216.00,0.06362
217.00,0.10927
218.00,0.06873
219.00,0.09165
220.00,0.07332
221.00,0.08064
222.00,0.11577
223.00,0.05509
224.00,0.07762
225.00,0.09537
226.00,0.07998
227.00,0.05037
228.00,0.09132
229.00,0.07864
230.00,0.10577
231.00,0.10759
232.00,0.11446
233.00,0.11509
234.00,0.25797
235.00,0.49440
236.00,1.04918
237.00,2.26548
238.00,4.67452
239.00,7.86669
240.00,12.36816
241.00,17.76837
242.00,23.35802
243.00,28.37232
244.00,33.16337
245.00,37.01462
246.00,39.57549
247.00,41.95209
248.00,43.38651
249.00,44.64860
250.00,45.36363
251.00,46.27478
252.00,47.17042
253.00,47.76450
254.00,47.83874
255.00,48.29212
256.00,49.12931
257.00,49.89823
258.00,49.54265
259.00,49.83080
260.00,49.67841
261.00,50.69663
262.00,51.19300
263.00,51.31916
264.00,50.92356
265.00,50.82811
266.00,51.69876
267.00,52.29401
268.00,52.48295
269.00,51.92675
270.00,51.84090
271.00,52.09873
272.00,52.71505
273.00,53.05477
274.00,53.23645
275.00,52.55296
276.00,52.22217
277.00,52.49295
278.00,53.24478
279.00,53.40059
280.00,54.11074
281.00,53.44146
282.00,52.79691
283.00,52.97151
284.00,52.76499
285.00,53.64911
286.00,54.30536
287.00,54.57008
288.00,54.66756
289.00,54.13463
290.00,53.51142
291.00,53.75000
292.00,54.57091
293.00,54.87537
294.00,55.76560
295.00,55.75770
296.00,55.37809
297.00,54.69897
298.00,54.03668
299.00,54.74278
300.00,55.00292
301.00,55.51485
302.00,56.48873
303.00,56.28827
304.00,55.67542
305.00,55.42032
306.00,55.90461
307.00,56.07338
308.00,56.22550
